"SubjID","P_true","x1","x2","CE"
1,0.6,100,50,78.3052222673785
1,0.95,200,150,146.154992233548
1,0.5,200,100,142.696152290816
1,0.75,200,0,64.3511457602798
1,0.99,200,0,60.6555621694062
1,0.9,150,50,105.642528293373
1,0.6,50,25,9.90929823220234
1,0.6,150,100,128.707533289694
1,0.1,150,50,80.171548848129
1,0.9,200,0,45.826181399167
1,0.6,200,0,63.9360442251169
1,0.99,75,50,44.5234339383596
1,0.75,100,50,46.5773600115121
1,0.95,50,25,64.4742451171992
1,0.05,400,0,68.292026282097
1,0.4,75,50,39.8482919659593
1,0.25,150,0,66.1776448397366
1,0.1,200,150,133.827325868042
1,0.95,200,100,133.751979911955
1,0.99,150,0,57.3405235098375
1,0.01,200,0,-7.81291335424351
1,0.4,75,0,-5.64310253081883
1,0.01,75,50,44.9050332368911
1,0.6,150,50,91.8363239196502
1,0.4,50,0,-54.6867708445021
1,0.6,400,0,59.6754518691559
1,0.5,50,25,31.9540088921187
1,0.4,800,0,164.78186654105
1,0.25,75,50,63.8737990275296
1,0.25,100,50,53.3345798936913
1,0.01,200,150,174.067532348122
1,0.75,150,0,49.4174287527275
1,0.01,150,100,133.776131555949
1,0.05,150,0,31.4990393027224
1,0.95,100,50,52.3739135251628
1,0.05,100,0,-5.28632377767499
1,0.4,200,0,62.3623408448012
1,0.9,75,50,45.8070526123833
1,0.1,75,50,81.1814687758318
1,0.9,200,150,164.726867262262
1,0.75,50,0,8.787488258219
1,0.9,150,100,111.163801786777
1,0.6,200,100,127.423132610177
1,0.99,25,0,10.5447242817786
1,0.99,100,0,28.0465605724635
1,0.75,75,50,75.5785735324593
1,0.95,50,0,34.1236231907105
1,0.1,400,0,102.025161895058
1,0.25,50,0,-2.38411875115816
1,0.1,200,100,123.08727837683
1,0.99,200,150,204.384873112873
1,0.25,200,100,105.825798801111
1,0.95,400,0,168.694217258203
1,0.25,200,0,64.1311807206662
1,0.75,50,25,60.0960130271966
1,0.4,200,150,161.932459760088
1,0.99,150,100,132.872310932462
1,0.1,100,0,27.2686648219277
1,0.95,200,0,72.5736888330108
1,0.05,50,0,-16.1817514826
1,0.5,150,50,103.304461046558
1,0.01,150,50,85.3298284226966
1,0.95,150,100,77.2085660785288
1,0.9,400,0,103.496391624258
1,0.5,75,0,-6.87092643354771
1,0.1,800,0,110.500031923915
1,0.9,150,0,40.0258306102829
1,0.75,200,100,160.114969170533
1,0.05,75,50,64.965517152518
1,0.01,25,0,-10.1408199462851
1,0.95,75,0,21.9511873578944
1,0.5,100,50,63.0205071499931
1,0.05,75,0,-3.49095328753648
1,0.01,75,0,-11.2613142399842
1,0.99,400,0,147.079980918305
1,0.25,100,0,17.1784927266072
1,0.95,150,0,55.6517788060705
1,0.5,200,150,167.29833776451
1,0.1,50,25,54.9060909673835
1,0.5,800,0,151.916206318991
1,0.95,75,50,16.7403825475371
1,0.99,800,0,301.379404160957
1,0.05,800,0,132.089553260011
1,0.75,150,50,83.4783146332721
1,0.4,25,0,-14.3323385528584
1,0.4,200,100,103.674195800137
1,0.4,150,0,75.4328686974242
1,0.05,150,100,114.063851985973
1,0.4,100,0,48.1603651942086
1,0.99,75,0,10.4105879553418
1,0.25,150,100,132.525960463837
1,0.5,400,0,71.4359878640826
1,0.99,150,50,71.4216433732344
1,0.6,50,0,-14.5444167811614
1,0.25,75,0,0.190656402388012
1,0.6,100,0,12.8706732525222
1,0.05,25,0,37.8433914351056
1,0.1,100,50,55.6519240457618
1,0.9,50,25,48.7786932489473
1,0.25,800,0,152.697065566922
1,0.01,150,0,80.534002886318
1,0.6,150,0,23.0586959263269
1,0.4,150,100,113.896822878806
1,0.05,100,50,38.6040326767308
1,0.25,25,0,3.37685022786351
1,0.5,50,0,-15.7894186539396
1,0.9,100,0,50.6546183480593
1,0.99,200,100,151.439768300781
1,0.05,200,100,114.677341007723
1,0.9,50,0,39.0652013348302
1,0.75,75,0,39.4526643272664
1,0.75,25,0,29.7792823317264
1,0.9,75,0,-16.3610554059562
1,0.5,150,0,15.2340401731549
1,0.05,200,0,36.3891218271133
1,0.01,50,25,20.464132062353
1,0.05,150,50,91.4041635537429
1,0.9,100,50,81.0636707371124
1,0.4,150,50,54.5139918802012
1,0.6,75,50,44.1478499098783
1,0.1,150,0,0.144391341611964
1,0.1,75,0,27.7123314009052
1,0.25,50,25,4.26499859642451
1,0.6,75,0,-3.9496983235571
1,0.25,200,150,159.200484288631
1,0.01,400,0,30.7498216904091
1,0.6,25,0,-6.57197577621459
1,0.1,25,0,27.5119668029717
1,0.9,800,0,218.756547159658
1,0.95,100,0,-2.06516906301932
1,0.6,800,0,186.996831243956
1,0.9,25,0,10.2502661930897
1,0.01,100,0,3.30292602069773
1,0.01,800,0,83.6941970879391
1,0.01,100,50,110.476034594488
1,0.95,150,50,91.5774983117858
1,0.75,200,150,173.545187441394
1,0.01,50,0,-30.2806798467877
1,0.75,400,0,115.876078567426
1,0.9,200,100,126.317513092686
1,0.4,50,25,-1.8626177194001
1,0.75,800,0,201.156667420413
1,0.75,150,100,95.2996788759295
1,0.5,150,100,124.994729137607
1,0.1,150,100,163.988100825155
1,0.1,50,0,33.9851200707829
1,0.99,50,0,2.72936754655616
1,0.99,100,50,35.3941038439486
1,0.25,150,50,59.3729337441189
1,0.5,200,0,26.9298005536083
1,0.05,200,150,153.667438009758
1,0.5,75,50,33.5018040447001
1,0.25,400,0,52.8534197388002
1,0.99,50,25,55.9900173457514
1,0.75,100,0,28.6605775932181
1,0.1,200,0,26.09691859413
1,0.5,100,0,48.179848685544
1,0.95,25,0,27.9600867651589
1,0.5,25,0,0.482276655201905
1,0.4,400,0,66.3923245020927
1,0.4,100,50,44.4053948224848
1,0.01,200,100,99.1926152431763
1,0.05,50,25,-5.10595464895589
1,0.95,800,0,237.800059780057
1,0.6,200,150,187.411471742065
1,0.99,150,100,121.994319637154
1,0.4,200,0,42.0182237529325
1,0.95,75,50,59.7247169499403
1,0.01,200,100,145.628080111127
1,0.25,75,0,-1.61115801241531
1,0.1,150,50,74.1745692093442
1,0.5,25,0,46.0957351149061
1,0.95,75,0,39.7178265954641
1,0.75,200,150,215.935558162804
1,0.9,200,0,49.0787751246923
1,0.05,150,0,47.6273391235845
1,0.1,50,25,25.8903985126028
1,0.75,200,100,127.97075999066
1,0.5,200,0,29.2858797884714
1,0.9,150,0,17.9558566350456
1,0.01,50,0,-3.99796978719532
1,0.4,150,100,121.972728162957
1,0.75,75,0,5.91507268757755
1,0.95,200,0,74.1693619160599
1,0.05,100,0,1.44271385055891
1,0.6,50,25,6.54808532790712
1,0.99,50,0,19.3877731499755
1,0.05,50,0,15.4476053691833
1,0.6,25,0,-0.391244043511779
1,0.75,150,100,139.331621727483
1,0.5,800,0,192.88694621689
1,0.5,150,0,27.4575967852101
1,0.75,75,50,39.5237847786605
1,0.4,50,25,56.8696334560124
1,0.01,150,50,81.2503320816846
1,0.4,75,0,39.5247984535018
1,0.01,75,0,-18.8621837866318
1,0.25,200,100,114.243686562363
1,0.6,50,0,6.00676222330013
1,0.05,400,0,122.474373761317
1,0.6,150,0,27.9323199439209
1,0.9,75,0,25.9321291763055
1,0.4,200,150,141.204652967048
1,0.95,50,25,18.9043003781995
1,0.4,100,0,35.8732931650435
1,0.05,150,50,83.3056644585336
1,0.4,400,0,100.41641584165
1,0.25,100,0,6.46395478054324
1,0.4,100,50,78.7576388734414
1,0.95,800,0,225.758894913213
1,0.9,200,150,190.630130363015
1,0.99,75,0,6.16669975117498
1,0.95,400,0,95.5739120105076
1,0.95,150,50,98.8697579089088
1,0.6,800,0,182.858622332488
1,0.01,200,0,43.4022091371968
1,0.01,200,150,138.787980123766
1,0.6,100,50,104.575469229496
1,0.5,200,150,166.437315188657
1,0.05,25,0,38.9605625025018
1,0.5,200,100,92.6180916259422
1,0.9,100,0,35.8812003684936
1,0.6,100,0,17.9260015510513
1,0.1,200,100,151.864172485868
1,0.6,200,100,156.181280341046
1,0.9,100,50,86.6344492229118
1,0.25,400,0,84.5711218424197
1,0.5,75,50,21.2257092869159
1,0.6,200,150,146.269087920817
1,0.25,50,0,33.6242787072211
1,0.99,150,50,131.285435650108
1,0.05,75,50,61.8124207201252
1,0.1,800,0,120.727704151577
1,0.95,200,150,175.11796224927
1,0.75,150,50,85.236562402214
1,0.6,200,0,69.379795875169
1,0.1,25,0,11.6920309518338
1,0.99,75,50,47.3465208825886
1,0.9,150,50,89.7492126865155
1,0.25,75,50,42.8486507186447
1,0.05,150,100,122.137802641406
1,0.75,200,0,50.9596502650919
1,0.75,800,0,232.450794678658
1,0.95,100,0,12.8849294346944
1,0.95,150,0,6.94618564656034
1,0.9,150,100,132.239137409457
1,0.5,150,100,162.998618500807
1,0.25,800,0,122.586843966084
1,0.99,800,0,288.886333963824
1,0.4,50,0,-2.04976457250993
1,0.5,75,0,2.67788577849234
1,0.5,50,25,10.0323428994108
1,0.01,800,0,53.8705634542905
1,0.01,75,50,58.6272522690642
1,0.25,200,150,176.026374155197
1,0.1,400,0,54.0700876356882
1,0.9,25,0,-13.5618485505081
1,0.75,25,0,-31.2649046009628
1,0.9,400,0,133.060408022965
1,0.9,50,25,-20.9608295931708
1,0.25,150,50,82.4588431074415
1,0.25,150,0,53.7410558781793
1,0.99,400,0,166.484421638442
1,0.99,50,25,65.1115956640532
1,0.01,150,100,120.270013317754
1,0.1,100,50,117.399376704478
1,0.25,150,100,137.325286810539
1,0.5,50,0,8.50059086907749
1,0.1,100,0,-26.1615968084836
1,0.25,25,0,-14.5505898775817
1,0.25,100,50,118.187654372505
1,0.99,200,100,137.935419897602
1,0.99,150,0,24.6542102380164
1,0.05,75,0,42.4018083375534
1,0.1,150,100,144.668661850279
1,0.01,400,0,56.0971588061562
1,0.5,100,0,14.8805012887097
1,0.05,200,100,114.699648742123
1,0.75,50,25,16.8392728578657
1,0.1,200,0,52.6838282187923
1,0.9,800,0,253.928947710852
1,0.1,75,0,-4.9613401367205
1,0.01,100,50,52.3283076634615
1,0.5,100,50,70.4249797438375
1,0.95,150,100,113.869518382245
1,0.95,200,100,145.630856712835
1,0.9,200,100,116.721777212124
1,0.1,50,0,8.95854805305849
1,0.75,400,0,114.237665182212
1,0.9,75,50,82.4678459086123
1,0.5,150,50,85.7811443956354
1,0.6,75,0,30.2830719053754
1,0.95,50,0,22.8799156117498
1,0.05,200,0,45.9084646964295
1,0.6,150,100,146.100082531292
1,0.9,50,0,-14.7698146094748
1,0.4,25,0,-24.600641227387
1,0.1,150,0,31.6627411199958
1,0.75,150,0,60.4280517201251
1,0.95,100,50,75.7389891733724
1,0.95,25,0,-24.0066457826429
1,0.6,150,50,109.043208851869
1,0.01,150,0,-10.91819789417
1,0.99,25,0,35.1668709413384
1,0.01,100,0,11.5916968412619
1,0.1,75,50,58.98089359941
1,0.01,50,25,72.0135960079669
1,0.05,200,150,178.988992463899
1,0.25,50,25,41.067496929421
1,0.75,100,0,14.148385354001
1,0.01,25,0,-36.2313233195332
1,0.05,800,0,120.297251257644
1,0.4,150,0,12.9575278122393
1,0.6,400,0,125.082934346662
1,0.99,200,150,159.046723797404
1,0.25,200,0,42.7050684496251
1,0.75,100,50,32.9063793381503
1,0.5,400,0,89.0037239785508
1,0.4,75,50,58.4739048755387
1,0.99,200,0,87.999210071321
1,0.05,50,25,10.269844475113
1,0.6,75,50,92.2764615822442
1,0.99,100,0,48.3840353124435
1,0.1,200,150,125.532138095017
1,0.4,800,0,137.760075618721
1,0.05,100,50,102.923554846811
1,0.99,100,50,117.594585441152
1,0.4,200,100,106.326726051155
1,0.4,150,50,67.433997692465
1,0.75,50,0,23.1759481354178
2,0.01,75,0,-7.05774970979412
2,0.6,75,0,2.69947433186858
2,0.95,75,50,48.9965224832002
2,0.99,100,50,107.954560655513
2,0.75,100,0,44.1138188367217
2,0.95,100,0,114.963278258124
2,0.6,800,0,304.208913609226
2,0.4,800,0,177.524121299408
2,0.4,50,25,-6.04738588040069
2,0.99,800,0,739.604293537351
2,0.95,800,0,704.957886766994
2,0.5,200,100,121.101012559516
2,0.6,100,0,13.1249545953463
2,0.99,200,100,180.21870944238
2,0.75,75,50,21.7812022464361
2,0.9,75,50,75.022768515136
2,0.1,50,25,28.1701832751404
2,0.5,150,100,119.583772614253
2,0.1,150,50,51.076049707818
2,0.05,100,0,-10.7614698018828
2,0.1,100,50,50.7048390075429
2,0.05,75,50,62.597839012189
2,0.99,150,50,156.25796329668
2,0.6,150,100,129.563831372837
2,0.1,800,0,92.1503677429022
2,0.95,200,100,163.279299712319
2,0.9,150,0,130.066434437069
2,0.6,200,100,139.938931321659
2,0.5,200,0,40.4096490775801
2,0.9,50,0,26.9702979773937
2,0.05,800,0,63.512264865338
2,0.1,25,0,5.39142712213024
2,0.01,200,100,105.723251192979
2,0.25,25,0,18.6330658742755
2,0.25,75,0,4.4640336065218
2,0.9,50,25,61.2259012481021
2,0.9,200,0,133.846505663671
2,0.5,75,0,39.8280243164687
2,0.25,400,0,58.1267030051192
2,0.25,100,50,80.3144773269763
2,0.5,100,0,19.5956889129754
2,0.01,400,0,21.541921017669
2,0.95,200,0,135.41539951071
2,0.5,50,0,8.89447002488134
2,0.95,200,150,196.155906804815
2,0.25,50,0,6.50199247378095
2,0.6,25,0,19.5707123426156
2,0.4,75,50,37.1448470529696
2,0.9,400,0,300.68166983496
2,0.75,200,0,95.0881800511102
2,0.01,75,50,70.177616780525
2,0.4,200,100,68.1585519902704
2,0.95,75,0,66.6094407403299
2,0.05,150,100,68.6224894646653
2,0.1,200,100,90.7423148622274
2,0.4,150,50,65.7497545712163
2,0.1,150,100,77.9850201815945
2,0.75,50,25,12.4961628304072
2,0.75,100,50,104.831962622538
2,0.75,200,100,144.010011248742
2,0.01,150,0,3.93030352105002
2,0.9,150,50,110.998829265817
2,0.95,100,50,96.2993238264958
2,0.6,75,50,66.8059533925268
2,0.75,150,100,130.827365777176
2,0.5,50,25,40.091506947263
2,0.75,400,0,200.943479098948
2,0.75,200,150,191.82409983949
2,0.9,800,0,599.150944874447
2,0.01,50,0,9.12780706673273
2,0.01,50,25,4.65758126592329
2,0.4,50,0,3.08580758951057
2,0.75,50,0,32.3560138048466
2,0.1,400,0,34.70639743255
2,0.5,200,150,162.744164593034
2,0.5,150,0,62.2115137060172
2,0.9,100,50,121.387208392273
2,0.95,400,0,327.908798908189
2,0.6,200,0,92.3875932734555
2,0.6,200,150,184.110032980045
2,0.99,150,100,117.85296192602
2,0.99,150,0,122.677259350674
2,0.95,50,0,43.1324997130574
2,0.01,25,0,-9.16892288917562
2,0.9,100,0,119.392854825671
2,0.6,150,50,116.506115231137
2,0.99,200,0,207.465059659654
2,0.99,200,150,195.765492737397
2,0.95,150,0,125.368812694022
2,0.05,75,0,20.5283624535942
2,0.99,50,25,35.3591187102842
2,0.1,75,0,15.9247391060682
2,0.4,100,0,41.3497967792037
2,0.05,150,0,41.7991664955851
2,0.01,150,50,76.0282438325973
2,0.75,75,0,37.4803793378947
2,0.4,200,0,42.8392664210507
2,0.25,100,0,23.4674579502471
2,0.95,150,100,147.547713027984
2,0.25,150,0,45.8789357038731
2,0.6,400,0,132.133952722815
2,0.9,200,100,155.157410210241
2,0.6,150,0,41.0872135523325
2,0.9,25,0,18.2951308721818
2,0.99,50,0,10.2694987154077
2,0.05,25,0,-20.6989297453725
2,0.4,200,150,170.627655984571
2,0.4,150,0,31.2021793088227
2,0.75,150,0,77.0814456830894
2,0.1,150,0,-39.3032831550331
2,0.6,100,50,37.5014989136531
2,0.1,200,0,23.2455466016483
2,0.1,200,150,153.755682350337
2,0.99,75,50,59.3632886772562
2,0.4,150,100,112.242223057478
2,0.99,100,0,106.270022680576
2,0.01,200,0,-44.4594055992452
2,0.6,50,25,57.4281754777616
2,0.05,50,0,-11.7877716882623
2,0.99,400,0,378.728872198424
2,0.05,50,25,40.4217468771231
2,0.05,200,100,133.99712375636
2,0.01,100,0,-21.2439752918701
2,0.05,150,50,65.6395224118349
2,0.9,75,0,67.8169255988856
2,0.9,200,150,175.653435785833
2,0.25,75,50,54.0489397360695
2,0.95,25,0,24.7696107639571
2,0.5,75,50,49.5486691243132
2,0.6,50,0,42.4402683924136
2,0.75,25,0,24.6892125984723
2,0.01,200,150,163.88063363678
2,0.25,200,0,75.1271555440204
2,0.01,800,0,68.1694046013559
2,0.25,150,50,103.322386543648
2,0.05,100,50,27.1162955018263
2,0.4,100,50,65.7639966299382
2,0.4,75,0,33.6120521666687
2,0.05,200,0,30.8815996177193
2,0.5,150,50,83.5809929372563
2,0.05,400,0,-8.54588822537865
2,0.1,75,50,28.5953325183553
2,0.5,400,0,135.747174321836
2,0.25,50,25,29.6444689396419
2,0.25,200,150,165.777060213939
2,0.4,400,0,76.8029868830731
