"SubjID","P_true","x1","x2","CE"
1,0.6,100,50,65
1,0.95,200,150,175
1,0.5,200,100,122
1,0.75,200,0,52
1,0.99,200,0,84
1,0.9,150,50,68
1,0.6,50,25,36.5
1,0.6,150,100,121
1,0.1,150,50,84
1,0.9,200,0,52
1,0.6,200,0,76
1,0.99,75,50,65.5
1,0.75,100,50,69
1,0.95,50,25,42.5
1,0.05,400,0,56
1,0.4,75,50,62.5
1,0.25,150,0,39
1,0.1,200,150,181
1,0.95,200,100,130
1,0.99,150,0,93
1,0.01,200,0,36
1,0.4,75,0,43.5
1,0.01,75,50,51.5
1,0.6,150,50,76
1,0.4,50,0,21
1,0.6,400,0,104
1,0.5,50,25,31.5
1,0.4,800,0,176
1,0.25,75,50,54.5
1,0.25,100,50,79
1,0.01,200,150,165
1,0.75,150,0,27
1,0.01,150,100,113
1,0.05,150,0,57
1,0.95,100,50,51
1,0.05,100,0,42
1,0.4,200,0,44
1,0.9,75,50,63.5
1,0.1,75,50,63.5
1,0.9,200,150,179
1,0.75,50,0,27
1,0.9,150,100,119
1,0.6,200,100,126
1,0.99,25,0,19.5
1,0.99,100,0,62
1,0.75,75,50,67.5
1,0.95,50,0,13
1,0.1,400,0,136
1,0.25,50,0,33
1,0.1,200,100,130
1,0.99,200,150,163
1,0.25,200,100,162
1,0.95,400,0,88
1,0.25,200,0,52
1,0.75,50,25,37.5
1,0.4,200,150,159
1,0.99,150,100,117
1,0.1,100,0,22
1,0.95,200,0,84
1,0.05,50,0,5
1,0.5,150,50,84
1,0.01,150,50,88
1,0.95,150,100,111
1,0.9,400,0,152
1,0.5,75,0,34.5
1,0.1,800,0,144
1,0.9,150,0,99
1,0.75,200,100,130
1,0.05,75,50,56.5
1,0.01,25,0,13.5
1,0.95,75,0,40.5
1,0.5,100,50,71
1,0.05,75,0,16.5
1,0.01,75,0,7.5
1,0.99,400,0,104
1,0.25,100,0,6
1,0.95,150,0,57
1,0.5,200,150,155
1,0.1,50,25,27.5
1,0.5,800,0,208
1,0.95,75,50,58.5
1,0.99,800,0,272
1,0.05,800,0,112
1,0.75,150,50,88
1,0.4,25,0,13.5
1,0.4,200,100,122
1,0.4,150,0,27
1,0.05,150,100,117
1,0.4,100,0,30
1,0.99,75,0,37.5
1,0.25,150,100,131
1,0.5,400,0,88
1,0.99,150,50,96
1,0.6,50,0,1
1,0.25,75,0,25.5
1,0.6,100,0,42
1,0.05,25,0,11.5
1,0.1,100,50,63
1,0.9,50,25,31.5
1,0.25,800,0,144
1,0.01,150,0,21
1,0.6,150,0,39
1,0.4,150,100,119
1,0.05,100,50,75
1,0.25,25,0,12.5
1,0.5,50,0,35
1,0.9,100,0,50
1,0.99,200,100,146
1,0.05,200,100,130
1,0.9,50,0,19
