"SubjID","P_true","x1","x2","CE"
1,0.6,100,50,51
1,0.95,200,150,171
1,0.5,200,100,134
1,0.75,200,0,60
1,0.99,200,0,76
1,0.9,150,50,88
1,0.6,50,25,48.5
1,0.6,150,100,125
1,0.1,150,50,72
1,0.9,200,0,52
1,0.6,200,0,68
1,0.99,75,50,60.5
1,0.75,100,50,75
1,0.95,50,25,39.5
1,0.05,400,0,40
1,0.4,75,50,59.5
1,0.25,150,0,39
1,0.1,200,150,175
1,0.95,200,100,150
1,0.99,150,0,33
1,0.01,200,0,28
1,0.4,75,0,13.5
1,0.01,75,50,56.5
1,0.6,150,50,88
1,0.4,50,0,15
1,0.6,400,0,88
1,0.5,50,25,37.5
1,0.4,800,0,144
1,0.25,75,50,62.5
1,0.25,100,50,65
1,0.01,200,150,163
1,0.75,150,0,45
1,0.01,150,100,109
1,0.05,150,0,33
1,0.95,100,50,63
1,0.05,100,0,22
1,0.4,200,0,60
1,0.9,75,50,59.5
1,0.1,75,50,56.5
1,0.9,200,150,179
1,0.75,50,0,17
1,0.9,150,100,127
1,0.6,200,100,162
1,0.99,25,0,6.5
1,0.99,100,0,46
1,0.75,75,50,71.5
1,0.95,50,0,27
1,0.1,400,0,72
1,0.25,50,0,29
1,0.1,200,100,110
1,0.99,200,150,179
1,0.25,200,100,126
1,0.95,400,0,120
1,0.25,200,0,76
1,0.75,50,25,34.5
1,0.4,200,150,161
1,0.99,150,100,129
1,0.1,100,0,34
1,0.95,200,0,60
1,0.05,50,0,27
1,0.5,150,50,80
1,0.01,150,50,60
1,0.95,150,100,127
1,0.9,400,0,136
1,0.5,75,0,40.5
1,0.1,800,0,208
1,0.9,150,0,111
1,0.75,200,100,138
1,0.05,75,50,57.5
1,0.01,25,0,21.5
1,0.95,75,0,31.5
1,0.5,100,50,65
1,0.05,75,0,25.5
1,0.01,75,0,31.5
1,0.99,400,0,216
1,0.25,100,0,26
1,0.95,150,0,57
1,0.5,200,150,171
1,0.1,50,25,31.5
1,0.5,800,0,176
1,0.95,75,50,55.5
1,0.99,800,0,272
1,0.05,800,0,112
1,0.75,150,50,88
1,0.4,25,0,5.5
1,0.4,200,100,122
1,0.4,150,0,45
1,0.05,150,100,127
1,0.4,100,0,38
1,0.99,75,0,28.5
1,0.25,150,100,109
1,0.5,400,0,104
1,0.99,150,50,100
1,0.6,50,0,35
1,0.25,75,0,22.5
1,0.6,100,0,38
1,0.05,25,0,7.5
1,0.1,100,50,61
1,0.9,50,25,35.5
1,0.25,800,0,176
1,0.01,150,0,21
1,0.6,150,0,45
1,0.4,150,100,121
1,0.05,100,50,63
1,0.25,25,0,3.5
1,0.5,50,0,21
1,0.9,100,0,38
1,0.99,200,100,142
1,0.05,200,100,126
1,0.9,50,0,9
1,0.75,75,0,28.5
1,0.75,25,0,13.5
1,0.9,75,0,73.5
1,0.5,150,0,39
1,0.05,200,0,68
1,0.01,50,25,41.5
1,0.05,150,50,84
1,0.9,100,50,97
1,0.4,150,50,112
1,0.6,75,50,54.5
1,0.1,150,0,51
1,0.1,75,0,31.5
1,0.25,50,25,34.5
1,0.6,75,0,28.5
1,0.25,200,150,193
1,0.01,400,0,56
1,0.6,25,0,11.5
1,0.1,25,0,11.5
1,0.9,800,0,208
1,0.95,100,0,34
1,0.6,800,0,176
1,0.9,25,0,5.5
1,0.01,100,0,14
1,0.01,800,0,112
1,0.01,100,50,51
1,0.95,150,50,92
1,0.75,200,150,171
1,0.01,50,0,17
1,0.75,400,0,104
1,0.9,200,100,150
1,0.4,50,25,34.5
1,0.75,800,0,176
1,0.75,150,100,115
1,0.5,150,100,113
1,0.1,150,100,123
1,0.1,50,0,25
1,0.99,50,0,15
1,0.99,100,50,89
1,0.25,150,50,76
1,0.5,200,0,76
1,0.05,200,150,155
1,0.5,75,50,54.5
1,0.25,400,0,88
1,0.99,50,25,38.5
1,0.75,100,0,46
1,0.1,200,0,36
1,0.5,100,0,34
1,0.95,25,0,14.5
1,0.5,25,0,11.5
1,0.4,400,0,104
1,0.4,100,50,59
1,0.01,200,100,126
1,0.05,50,25,42.5
1,0.95,800,0,272
1,0.6,200,150,171
1,0.99,150,100,127
1,0.4,200,0,44
1,0.95,75,50,65.5
1,0.01,200,100,118
1,0.25,75,0,19.5
1,0.1,150,50,52
1,0.5,25,0,19.5
1,0.95,75,0,37.5
1,0.75,200,150,175
1,0.9,200,0,76
1,0.05,150,0,39
1,0.1,50,25,42.5
1,0.75,200,100,130
1,0.5,200,0,52
1,0.9,150,0,57
1,0.01,50,0,7
1,0.4,150,100,119
1,0.75,75,0,31.5
1,0.95,200,0,92
1,0.05,100,0,34
1,0.6,50,25,42.5
1,0.99,50,0,15
1,0.05,50,0,19
1,0.6,25,0,13.5
1,0.75,150,100,127
1,0.5,800,0,176
1,0.5,150,0,51
1,0.75,75,50,57.5
1,0.4,50,25,37.5
1,0.01,150,50,72
1,0.4,75,0,25.5
1,0.01,75,0,10.5
1,0.25,200,100,122
1,0.6,50,0,19
1,0.05,400,0,56
1,0.6,150,0,33
1,0.9,75,0,22.5
1,0.4,200,150,171
1,0.95,50,25,35.5
1,0.4,100,0,42
1,0.05,150,50,76
1,0.4,400,0,88
1,0.25,100,0,38
1,0.4,100,50,79
1,0.95,800,0,208
1,0.9,200,150,175
1,0.99,75,0,61.5
1,0.95,400,0,136
1,0.95,150,50,104
1,0.6,800,0,240
1,0.01,200,0,44
1,0.01,200,150,173
1,0.6,100,50,59
1,0.5,200,150,175
1,0.05,25,0,7.5
1,0.5,200,100,114
