"SubjID","P_true","x1","x2","CE"
1,0.6,100,50,89
1,0.95,200,150,195
1,0.5,200,100,130
1,0.75,200,0,68
1,0.99,200,0,84
1,0.9,150,50,72
1,0.6,50,25,34.5
1,0.6,150,100,111
1,0.1,150,50,64
1,0.9,200,0,60
1,0.6,200,0,92
1,0.99,75,50,50.5
1,0.75,100,50,73
1,0.95,50,25,32.5
1,0.05,400,0,40
1,0.4,75,50,61.5
1,0.25,150,0,39
1,0.1,200,150,175
1,0.95,200,100,134
1,0.99,150,0,45
1,0.01,200,0,20
1,0.4,75,0,19.5
1,0.01,75,50,57.5
1,0.6,150,50,80
1,0.4,50,0,13
1,0.6,400,0,104
1,0.5,50,25,39.5
1,0.4,800,0,208
1,0.25,75,50,58.5
1,0.25,100,50,71
1,0.01,200,150,153
1,0.75,150,0,45
1,0.01,150,100,107
1,0.05,150,0,27
1,0.95,100,50,69
1,0.05,100,0,6
1,0.4,200,0,44
1,0.9,75,50,58.5
1,0.1,75,50,51.5
1,0.9,200,150,161
1,0.75,50,0,31
1,0.9,150,100,103
1,0.6,200,100,130
1,0.99,25,0,20.5
1,0.99,100,0,42
1,0.75,75,50,58.5
1,0.95,50,0,25
1,0.1,400,0,40
1,0.25,50,0,11
1,0.1,200,100,142
1,0.99,200,150,167
1,0.25,200,100,130
1,0.95,400,0,104
1,0.25,200,0,116
1,0.75,50,25,49.5
1,0.4,200,150,169
1,0.99,150,100,131
1,0.1,100,0,26
1,0.95,200,0,20
1,0.05,50,0,7
1,0.5,150,50,76
1,0.01,150,50,68
1,0.95,150,100,117
1,0.9,400,0,152
1,0.5,75,0,34.5
1,0.1,800,0,176
1,0.9,150,0,45
1,0.75,200,100,146
1,0.05,75,50,54.5
1,0.01,25,0,12.5
1,0.95,75,0,19.5
1,0.5,100,50,71
1,0.05,75,0,19.5
1,0.01,75,0,7.5
1,0.99,400,0,216
1,0.25,100,0,18
1,0.95,150,0,33
1,0.5,200,150,169
1,0.1,50,25,26.5
1,0.5,800,0,240
1,0.95,75,50,61.5
1,0.99,800,0,432
1,0.05,800,0,208
1,0.75,150,50,72
1,0.4,25,0,8.5
1,0.4,200,100,122
1,0.4,150,0,33
1,0.05,150,100,109
1,0.4,100,0,10
1,0.99,75,0,31.5
1,0.25,150,100,119
1,0.5,400,0,152
1,0.99,150,50,72
1,0.6,50,0,17
1,0.25,75,0,7.5
1,0.6,100,0,10
1,0.05,25,0,8.5
1,0.1,100,50,65
1,0.9,50,25,35.5
1,0.25,800,0,304
1,0.01,150,0,45
1,0.6,150,0,39
1,0.4,150,100,115
1,0.05,100,50,67
1,0.25,25,0,8.5
1,0.5,50,0,23
1,0.9,100,0,26
1,0.99,200,100,138
1,0.05,200,100,138
1,0.9,50,0,43
1,0.75,75,0,34.5
1,0.75,25,0,7.5
1,0.9,75,0,34.5
1,0.5,150,0,27
1,0.05,200,0,36
1,0.01,50,25,28.5
1,0.05,150,50,96
1,0.9,100,50,87
1,0.4,150,50,76
1,0.6,75,50,73.5
1,0.1,150,0,21
1,0.1,75,0,19.5
1,0.25,50,25,29.5
1,0.6,75,0,25.5
1,0.25,200,150,161
1,0.01,400,0,72
1,0.6,25,0,6.5
1,0.1,25,0,1.5
1,0.9,800,0,560
1,0.95,100,0,26
1,0.6,800,0,176
1,0.9,25,0,0.5
1,0.01,100,0,10
1,0.01,800,0,240
1,0.01,100,50,51
1,0.95,150,50,88
1,0.75,200,150,163
1,0.01,50,0,9
1,0.75,400,0,104
1,0.9,200,100,146
1,0.4,50,25,34.5
1,0.75,800,0,240
1,0.75,150,100,123
1,0.5,150,100,103
1,0.1,150,100,121
1,0.1,50,0,13
1,0.99,50,0,23
1,0.99,100,50,69
1,0.25,150,50,76
1,0.5,200,0,52
1,0.05,200,150,155
1,0.5,75,50,56.5
1,0.25,400,0,120
1,0.99,50,25,47.5
1,0.75,100,0,46
1,0.1,200,0,44
1,0.5,100,0,42
1,0.95,25,0,13.5
1,0.5,25,0,7.5
1,0.4,400,0,120
1,0.4,100,50,63
1,0.01,200,100,114
1,0.05,50,25,39.5
1,0.95,800,0,304
1,0.6,200,150,169
1,0.99,150,100,117
1,0.4,200,0,68
1,0.95,75,50,60.5
1,0.01,200,100,142
1,0.25,75,0,10.5
1,0.1,150,50,84
1,0.5,25,0,16.5
1,0.95,75,0,40.5
1,0.75,200,150,187
1,0.9,200,0,132
1,0.05,150,0,51
1,0.1,50,25,29.5
1,0.75,200,100,134
1,0.5,200,0,52
1,0.9,150,0,69
1,0.01,50,0,27
1,0.4,150,100,113
1,0.75,75,0,19.5
1,0.95,200,0,68
1,0.05,100,0,42
1,0.6,50,25,49.5
1,0.99,50,0,23
1,0.05,50,0,19
1,0.6,25,0,10.5
1,0.75,150,100,121
1,0.5,800,0,208
1,0.5,150,0,45
1,0.75,75,50,53.5
1,0.4,50,25,41.5
1,0.01,150,50,68
1,0.4,75,0,31.5
1,0.01,75,0,16.5
1,0.25,200,100,110
1,0.6,50,0,19
1,0.05,400,0,88
1,0.6,150,0,51
1,0.9,75,0,31.5
1,0.4,200,150,165
1,0.95,50,25,30.5
1,0.4,100,0,14
1,0.05,150,50,76
1,0.4,400,0,104
1,0.25,100,0,46
1,0.4,100,50,69
1,0.95,800,0,336
1,0.9,200,150,161
1,0.99,75,0,31.5
1,0.95,400,0,136
1,0.95,150,50,88
1,0.6,800,0,240
1,0.01,200,0,12
1,0.01,200,150,159
1,0.6,100,50,67
1,0.5,200,150,163
1,0.05,25,0,15.5
1,0.5,200,100,146
1,0.9,100,0,46
1,0.6,100,0,34
1,0.1,200,100,106
1,0.6,200,100,130
1,0.9,100,50,67
1,0.25,400,0,136
1,0.5,75,50,55.5
1,0.6,200,150,153
1,0.25,50,0,7
1,0.99,150,50,92
1,0.05,75,50,55.5
1,0.1,800,0,240
1,0.95,200,150,165
1,0.75,150,50,72
1,0.6,200,0,52
1,0.1,25,0,10.5
1,0.99,75,50,74.5
1,0.9,150,50,128
1,0.25,75,50,64.5
1,0.05,150,100,107
1,0.75,200,0,68
1,0.75,800,0,176
1,0.95,100,0,54
1,0.95,150,0,51
1,0.9,150,100,129
1,0.5,150,100,115
1,0.25,800,0,176
1,0.99,800,0,400
1,0.4,50,0,3
1,0.5,75,0,52.5
1,0.5,50,25,29.5
1,0.01,800,0,112
1,0.01,75,50,58.5
1,0.25,200,150,175
1,0.1,400,0,88
1,0.9,25,0,2.5
1,0.75,25,0,4.5
1,0.9,400,0,152
1,0.9,50,25,43.5
1,0.25,150,50,88
1,0.25,150,0,57
1,0.99,400,0,152
1,0.99,50,25,36.5
1,0.01,150,100,107
1,0.1,100,50,65
1,0.25,150,100,113
1,0.5,50,0,33
1,0.1,100,0,30
1,0.25,25,0,13.5
1,0.25,100,50,61
1,0.99,200,100,150
1,0.99,150,0,69
1,0.05,75,0,22.5
1,0.1,150,100,111
1,0.01,400,0,72
1,0.5,100,0,30
1,0.05,200,100,134
1,0.75,50,25,30.5
1,0.1,200,0,52
1,0.9,800,0,176
1,0.1,75,0,19.5
1,0.01,100,50,63
1,0.5,100,50,67
1,0.95,150,100,139
1,0.95,200,100,158
1,0.9,200,100,126
1,0.1,50,0,19
1,0.75,400,0,152
1,0.9,75,50,65.5
1,0.5,150,50,64
1,0.6,75,0,19.5
1,0.95,50,0,11
1,0.05,200,0,52
1,0.6,150,100,103
1,0.9,50,0,9
1,0.4,25,0,14.5
1,0.1,150,0,57
1,0.75,150,0,69
1,0.95,100,50,85
1,0.95,25,0,12.5
1,0.6,150,50,76
1,0.01,150,0,27
1,0.99,25,0,14.5
1,0.01,100,0,26
1,0.1,75,50,69.5
1,0.01,50,25,29.5
1,0.05,200,150,163
1,0.25,50,25,43.5
1,0.75,100,0,26
1,0.01,25,0,4.5
1,0.05,800,0,208
1,0.4,150,0,39
1,0.6,400,0,136
1,0.99,200,150,171
1,0.25,200,0,44
1,0.75,100,50,85
1,0.5,400,0,168
1,0.4,75,50,55.5
1,0.99,200,0,52
1,0.05,50,25,28.5
1,0.6,75,50,56.5
1,0.99,100,0,74
1,0.1,200,150,159
1,0.4,800,0,208
1,0.05,100,50,61
1,0.99,100,50,73
1,0.4,200,100,158
1,0.4,150,50,76
1,0.75,50,0,27
2,0.01,75,0,7.5
2,0.6,75,0,16.5
2,0.95,75,50,74.5
2,0.99,100,50,95
2,0.75,100,0,58
2,0.95,100,0,86
2,0.6,800,0,368
2,0.4,800,0,272
2,0.4,50,25,42.5
2,0.99,800,0,752
2,0.95,800,0,752
2,0.5,200,100,138
2,0.6,100,0,46
2,0.99,200,100,198
2,0.75,75,50,70.5
2,0.9,75,50,66.5
2,0.1,50,25,30.5
2,0.5,150,100,117
2,0.1,150,50,56
2,0.05,100,0,2
2,0.1,100,50,55
2,0.05,75,50,53.5
2,0.99,150,50,136
2,0.6,150,100,129
2,0.1,800,0,48
