"SubjID","P_true","x1","x2","CE"
1,0.6,100,50,63
1,0.95,200,150,163
1,0.5,200,100,138
1,0.75,200,0,52
1,0.99,200,0,108
1,0.9,150,50,92
1,0.6,50,25,32.5
1,0.6,150,100,119
1,0.1,150,50,68
1,0.9,200,0,116
1,0.6,200,0,68
1,0.99,75,50,68.5
1,0.75,100,50,73
1,0.95,50,25,38.5
1,0.05,400,0,88
1,0.4,75,50,62.5
1,0.25,150,0,9
1,0.1,200,150,179
1,0.95,200,100,138
1,0.99,150,0,87
1,0.01,200,0,12
1,0.4,75,0,19.5
1,0.01,75,50,58.5
1,0.6,150,50,124
1,0.4,50,0,11
1,0.6,400,0,72
1,0.5,50,25,27.5
1,0.4,800,0,208
1,0.25,75,50,61.5
1,0.25,100,50,81
1,0.01,200,150,165
1,0.75,150,0,57
1,0.01,150,100,107
1,0.05,150,0,9
1,0.95,100,50,85
1,0.05,100,0,74
1,0.4,200,0,36
1,0.9,75,50,53.5
1,0.1,75,50,61.5
1,0.9,200,150,157
1,0.75,50,0,17
1,0.9,150,100,131
1,0.6,200,100,122
1,0.99,25,0,12.5
1,0.99,100,0,50
1,0.75,75,50,59.5
1,0.95,50,0,27
1,0.1,400,0,72
1,0.25,50,0,5
1,0.1,200,100,122
1,0.99,200,150,173
1,0.25,200,100,130
1,0.95,400,0,152
1,0.25,200,0,44
1,0.75,50,25,31.5
1,0.4,200,150,157
1,0.99,150,100,123
1,0.1,100,0,18
1,0.95,200,0,76
1,0.05,50,0,3
1,0.5,150,50,80
1,0.01,150,50,68
1,0.95,150,100,127
1,0.9,400,0,152
1,0.5,75,0,19.5
1,0.1,800,0,240
1,0.9,150,0,57
1,0.75,200,100,142
1,0.05,75,50,60.5
1,0.01,25,0,3.5
1,0.95,75,0,28.5
1,0.5,100,50,69
1,0.05,75,0,19.5
1,0.01,75,0,7.5
1,0.99,400,0,136
1,0.25,100,0,26
1,0.95,150,0,51
1,0.5,200,150,163
1,0.1,50,25,28.5
1,0.5,800,0,208
1,0.95,75,50,62.5
1,0.99,800,0,432
1,0.05,800,0,144
1,0.75,150,50,76
1,0.4,25,0,7.5
1,0.4,200,100,122
1,0.4,150,0,33
1,0.05,150,100,101
1,0.4,100,0,38
1,0.99,75,0,43.5
1,0.25,150,100,105
1,0.5,400,0,88
1,0.99,150,50,96
1,0.6,50,0,19
1,0.25,75,0,10.5
1,0.6,100,0,30
1,0.05,25,0,4.5
1,0.1,100,50,53
1,0.9,50,25,32.5
1,0.25,800,0,240
1,0.01,150,0,27
1,0.6,150,0,45
1,0.4,150,100,117
1,0.05,100,50,63
1,0.25,25,0,5.5
1,0.5,50,0,15
1,0.9,100,0,38
1,0.99,200,100,114
